-10.0 -10.0,-10.0 0.0,-10.0 10.0,0.0 -10.0,0.0 0.0,0.0 10.0,10.0 -10.0,10.0 0.0,10.0 10.0,other
0.111111111111,0.111111111111,0.111111111111,0.111111111111,0.111111111111,0.111111111111,0.111111111111,0.111111111111,0.111111111111,0.0
0.1,0.1,0.100000000001,0.101686909466,0.100697256547,0.197615571582,0.100000003906,0.100000003524,0.100000254973,0.0
0.0835176558483,0.0835176558483,0.0835176558563,0.08508501629,0.0841736648272,0.329635142558,0.0835176591458,0.0835176588192,0.0835178908064,0.0
0.0628137190219,0.0628137190219,0.0628137191017,0.0639969633147,0.0633096032324,0.495810937329,0.062813721502,0.0628137212563,0.0628138962204,0.0
0.0419931106299,0.0419931106299,0.0419931120906,0.0427841968652,0.0423246600619,0.662932356214,0.0419931122879,0.0419931121237,0.0419932290969,0.0
0.0252524561682,0.0252524561682,0.0252524816679,0.0257281744152,0.0254518330282,0.797305156912,0.0252524571653,0.0252524570665,0.0252525274081,0.0
0.0140502657734,0.0140502657734,0.0140504858389,0.0143149516311,0.0141611974822,0.887221995489,0.0140502663281,0.0140502662732,0.0140503054107,0.0
0.00744525541843,0.00744525541843,0.00744604088347,0.00758551282387,0.0075040382862,0.940238109352,0.00744525571239,0.00744525568327,0.00744527642229,0.0
0.00383777230972,0.00383777230972,0.00383918145502,0.00391007016347,0.00386807285016,0.969193802868,0.00383777246125,0.00383777244624,0.00383778313649,0.0
0.00194935360656,0.00194935360656,0.00195098411398,0.00198607649438,0.00196474442788,0.984351421285,0.00194935368353,0.00194935367591,0.0019493591059,0.0
0.000982672852272,0.000982672852271,0.000984120993601,0.00100118492971,0.000990431394513,0.992110895575,0.00098267289107,0.000982672887227,0.000982675624497,0.0
0.000493464982762,0.000493464982762,0.000494560107902,0.000502761120289,0.000497361059577,0.996037991369,0.000493465002245,0.000493465000315,0.00049346637488,0.0
0.000247321637041,0.000247321637041,0.000248070238353,0.000251980804423,0.00024927432696,0.998014065729,0.000247321646806,0.000247321645839,0.000247322334762,0.0
0.000123835586319,0.000123835586319,0.000124314568503,0.000126168462372,0.000124813311131,0.999005525368,0.000123835591208,0.000123835590724,0.000123835935672,0.0
6.19750876006e-05,6.19750876006e-05,6.22680209022e-05,6.31426049688e-05,6.24644023665e-05,0.999502249354,6.19750900475e-05,6.19750898052e-05,6.1975262439e-05,0.0
3.10086498672e-05,3.10086498672e-05,3.11821354794e-05,3.15928061579e-05,3.125347389e-05,0.999750928245,3.10086510915e-05,3.10086509702e-05,3.10087373459e-05,0.0
1.55129905053e-05,1.55129905053e-05,1.56133282313e-05,1.58052318971e-05,1.56354709345e-05,0.999875380971,1.55129911178e-05,1.55129910572e-05,1.55130342692e-05,0.0
7.76035622261e-06,7.76035622261e-06,7.81734955379e-06,7.90654965338e-06,7.82162692095e-06,0.99993765267,7.76035652901e-06,7.76035649866e-06,7.76037811541e-06,0.0
3.88199086748e-06,3.88199086748e-06,3.91390941481e-06,3.95512173248e-06,3.91264052901e-06,0.999968808363,3.88199102076e-06,3.88199100557e-06,3.882001819e-06,0.0
1.94187253192e-06,1.94187253192e-06,1.95954662873e-06,1.97845448764e-06,1.9572042877e-06,0.999984395426,1.9418726086e-06,1.941872601e-06,1.94187801016e-06,0.0
9.71367579863e-07,9.71367579863e-07,9.81063752251e-07,9.89666683031e-07,9.79036863127e-07,0.999992193392,9.71367618216e-07,9.71367614417e-07,9.71370320196e-07,0.0
4.85897682485e-07,4.85897682485e-07,4.91176131682e-07,4.95051263485e-07,4.89734012876e-07,0.999996094549,4.8589770167e-07,4.8589769977e-07,4.85899053255e-07,0.0
2.43055369107e-07,2.43055369107e-07,2.45910162553e-07,2.47634166433e-07,2.44974375379e-07,0.999998046204,2.43055378704e-07,2.43055377753e-07,2.43056054793e-07,0.0
1.21580855349e-07,1.21580855349e-07,1.23116227106e-07,1.23871255669e-07,1.22540778287e-07,0.999999022567,1.21580860149e-07,1.21580859673e-07,1.21581198341e-07,0.0
6.08169955514e-08,6.08169955514e-08,6.16387635771e-08,6.19626962109e-08,6.12971667834e-08,0.999999511016,6.08169979527e-08,6.08169977148e-08,6.08171671227e-08,0.0
3.04217802248e-08,3.04217802247e-08,3.08597524965e-08,3.0994880776e-08,3.06619707105e-08,0.999999755374,3.04217814259e-08,3.04217813069e-08,3.04218660479e-08,0.0
1.52175324122e-08,1.52175324122e-08,1.5450086256e-08,1.55042078188e-08,1.53376800984e-08,0.99999987762,1.5217533013e-08,1.52175329535e-08,1.52175753425e-08,0.0
7.61208834944e-09,7.61208834944e-09,7.73516091978e-09,7.75548863695e-09,7.67218842206e-09,0.999999938777,7.61208864999e-09,7.61208862022e-09,7.61210982396e-09,0.0
3.80770585733e-09,3.80770585733e-09,3.87264586948e-09,3.8794373047e-09,3.83776901322e-09,0.999999969372,3.80770600767e-09,3.80770599278e-09,3.80771659928e-09,0.0
1.9046841041e-09,1.9046841041e-09,1.93885892856e-09,1.94056548588e-09,1.91972224447e-09,0.999999984677,1.9046841793e-09,1.90468417185e-09,1.90468947741e-09,0.0
9.5275781404e-10,9.52757814039e-10,9.7069911485e-10,9.70706337266e-10,9.60280166817e-10,0.999999992335,9.52757851657e-10,9.52757847931e-10,9.52760501872e-10,0.0
4.76586876978e-10,4.76586876978e-10,4.85985212371e-10,4.85565056434e-10,4.80349695365e-10,0.999999996165,4.76586895795e-10,4.76586893931e-10,4.76588221481e-10,0.0
2.38397468416e-10,2.38397468416e-10,2.43310849471e-10,2.42888517912e-10,2.40279698963e-10,0.999999998082,2.38397477829e-10,2.38397476896e-10,2.38398140961e-10,0.0
1.19250771767e-10,1.19250771767e-10,1.21814754666e-10,1.21497276825e-10,1.20192297896e-10,0.99999999904,1.19250776476e-10,1.19250776009e-10,1.19251108186e-10,0.0
5.96514159938e-11,5.96514159938e-11,6.09871466069e-11,6.07751588911e-11,6.01223845753e-11,0.99999999952,5.96514183491e-11,5.96514181158e-11,5.96515842769e-11,0.0
2.98387287269e-11,2.98387287269e-11,3.05335101695e-11,3.04008454666e-11,3.0074315821e-11,0.99999999976,2.9838729905e-11,2.98387297883e-11,2.98388129051e-11,0.0
1.49258775688e-11,1.49258775688e-11,1.52867496683e-11,1.52070586377e-11,1.504372254e-11,0.99999999988,1.49258781582e-11,1.49258780998e-11,1.49259196763e-11,0.0
7.46619680838e-12,7.46619680838e-12,7.65338521879e-12,7.60684871913e-12,7.52514501722e-12,0.99999999994,7.46619710317e-12,7.46619707397e-12,7.46621787132e-12,0.0
3.73472812722e-12,3.73472812722e-12,3.83170435681e-12,3.80508478414e-12,3.76421509889e-12,0.99999999997,3.73472827468e-12,3.73472826007e-12,3.73473866329e-12,0.0
1.86817928084e-12,1.86817928084e-12,1.91836133398e-12,1.90337296677e-12,1.8829292031e-12,0.999999999985,1.8681793546e-12,1.86817934729e-12,1.86818455117e-12,0.0
9.34497426969e-13,9.34497426969e-13,9.60436887865e-13,9.52101952024e-13,9.41875607725e-13,0.999999999992,9.34497463866e-13,9.34497460211e-13,9.34500063287e-13,0.0
4.6745269577e-13,4.6745269577e-13,4.80847376993e-13,4.76258801019e-13,4.71143396662e-13,0.999999999996,4.67452714227e-13,4.67452712399e-13,4.67454014505e-13,0.0
2.33828383553e-13,2.33828383553e-13,2.40738566878e-13,2.38233358376e-13,2.35674539607e-13,0.999999999998,2.33828392785e-13,2.33828391871e-13,2.33829043208e-13,0.0
