-1.0 -1.0 -1.0,-1.0 -1.0 -1.5,-1.0 -1.5 -1.0,-1.0 -1.5 -1.5,-1.5 -1.0 -1.0,-1.5 -1.0 -1.5,-1.5 -1.5 -1.0,-1.5 -1.5 -1.5,other
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0
0.17670504212572538,0.11455373237540728,0.13315935985403518,0.1278290641899727,0.11118737796728495,0.11269199351820945,0.11203144677507122,0.11184198319429381,0.0
0.2364402497965063,0.1021363610612203,0.13864157769362298,0.1313785222418735,0.09637713851542297,0.0996663655244288,0.09778258314741002,0.09757720201951514,0.0
0.2978840445289309,0.0887575197528169,0.14105095723806824,0.1371054944165378,0.08162034499304971,0.08703584557262911,0.08331287298627361,0.08323292051169372,0.0
0.35394401851592444,0.07559002302777341,0.1405121433886232,0.14661383705900105,0.0679524820705766,0.07583722138360675,0.0697128452095301,0.0698374293449645,0.0
0.3997334429694301,0.06348705170610912,0.13746648262336833,0.16109872723140464,0.05597966007294072,0.06656188892064144,0.0576648269147953,0.058007919561310385,0.0
0.4335617391059731,0.052804986511887836,0.1323963322301852,0.18109898784160897,0.04581282516474663,0.05910134805276099,0.04734641067402468,0.047877370418812654,0.0
0.45594336475995245,0.043552992811023365,0.12570108392150114,0.20657240284458658,0.0372783012209392,0.053027141266284564,0.038628410595775264,0.03929630257993742,0.0
0.46834787892616453,0.0356026789508442,0.11771384642533683,0.23701197006287952,0.030129028955169272,0.04786580895553875,0.031289338687195356,0.0320394490368715,0.0
0.47252752653846214,0.02880926933959286,0.10875544215857574,0.2714958664806511,0.024145981338142882,0.04323553594791409,0.0251239804807254,0.025906397715935857,0.0
0.4702843018115307,0.02305066193883913,0.09916656189981758,0.30873852390597645,0.019160065810796757,0.03888523938632768,0.019970580198262814,0.020744065048449018,0.0
0.4633854949013686,0.018226371005406493,0.08930563613410464,0.3472131153883123,0.015041249315478464,0.03468903729432956,0.015702838727817095,0.016436257233183035,0.0
0.453482784868015,0.014244924506843861,0.07952137760766967,0.38534905584187434,0.011681204821898893,0.030620454419519227,0.012213927960515942,0.01288626997366318,0.0
0.4420149698832362,0.011013522123581431,0.07011695106249768,0.42174932816518057,0.00898040177401619,0.026716900666569822,0.00940425481637268,0.010003671508545626,0.0
0.4301274814252702,0.008434525067519705,0.061322167515136285,0.4553555031385079,0.006842432298133739,0.023043251217855814,0.007176229013180309,0.007698410324396111,0.0
0.4186400168088065,0.0064079488578476455,0.053282750124541776,0.4855164950482878,0.005174157572305292,0.01966278279524401,0.005434800462874337,0.005881048330092635,0.0
0.4080673665210975,0.004836798223752753,0.04606635240455544,0.5119638967422456,0.003888673569565233,0.01662000213315678,0.004090785792185342,0.004466124613441308,0.0
0.39867606532090216,0.003632223492194925,0.03967895865478848,0.5347292281392844,0.002908443858444063,0.013934920922502946,0.0030642971405501407,0.0033758624713329643,0.0
0.39055318446102544,0.0027168533862863705,0.03408432527237003,0.5540438306895343,0.0021671871203790996,0.011605135976995386,0.00228683506454568,0.0025426480288638378,0.0
0.38366963035516716,0.00202602319598809,0.029221398806190395,0.5702494443804231,0.0016102561832654577,0.009611554594350424,0.0017017831371801775,0.0019099093474352336,0.0
0.3779297411960148,0.0015073809141075345,0.025017539262161607,0.5837313369944449,0.0011938697740059671,0.00792473146228123,0.0012636847023901666,0.0014317156945938556,0.0
0.3732060552911721,0.0011195473314629604,0.02139740858334843,0.5948745815283811,0.0008837119341030959,0.006510237286991578,0.0009368410950488934,0.0010716169494917921,0.0
0.3693616286029673,0.0008303922801717733,0.018288332150427886,0.6040389209410704,0.000653321861817035,0.005332557039015388,0.0006936750147358532,0.0008011721097944908,0.0
0.36626321316723404,0.0006152903983652889,0.015623152629857119,0.6115466050696993,0.00048253996276643833,0.004357596649537351,0.0005131394757433895,0.0005984626467971647,0.0
0.3637882801192014,0.0004555469252007265,0.01334146033865103,0.6176784123755803,0.0003561418518115768,0.0035540975141579805,0.00037931290390875495,0.0004467479714883002,0.0
0.3618281505400952,0.00033706756798273417,0.011389851496703098,0.6226743888009789,0.00026270367247739824,0.0028942843492885772,0.0002802283531745695,0.00033332521929949695,0.0
0.3602887972244687,0.0002492801877838654,0.009721650091579125,0.6267370261016706,0.0001936933762079928,0.0023540188632308967,0.0002069334335674115,0.0002486007214914245,0.0
0.35909033552216746,0.00018428414480887244,0.008296365756073424,0.6300354859593535,0.00014276051802426646,0.0019126603779466482,0.00015275395913112524,0.00018535376249454875,0.0
0.35816583982616135,0.00013619152973342276,0.007079048670414364,0.632710068874095,0.00010519038645099332,0.0015527706548448916,0.00011272683387744109,0.00013816322442248516,0.0
0.35745987053159933,0.000100623478840996,0.006039631397015721,0.6348764992502862,7.748927660731915e-05,0.0012597511205230593,8.31683685637336e-05,0.00010296657656374853,0.0
0.35692693609264214,7.432850999234986e-05,0.005152304299934841,0.6366298211444739,5.707195911395212e-05,0.0010214660349827512,6.134838277467941e-05,7.672357608560437e-05,0.0
0.3565300152146247,5.4895166273965674e-05,0.004394945937833427,0.6380478272015556,4.2027526349868804e-05,0.0008278819715035891,4.524560810085215e-05,5.716137375805135e-05,0.0
0.3562392033734048,4.0536663716626804e-05,0.003748615662192521,0.6391940134396544,3.09446938761039e-05,0.0006707391258388426,3.336488490090339e-05,4.258215641560564e-05,0.0
0.3560305113038991,2.993004732230169e-05,0.003197108116459731,0.6401200884484405,2.2781858827095518e-05,0.000543260825119105,2.4600962763289768e-05,3.171843716880883e-05,0.0
