Role,Choice,Round,Subj
1,0,1,22
1,0,2,22
1,0,3,22
1,0,4,22
1,0,5,22
0,1,1,22
0,1,2,22
0,1,3,22
0,1,4,22
0,1,5,22
0,1,6,22
0,1,7,22
1,0,1,22
1,0,2,22
1,0,3,22
1,0,4,22
1,0,5,22
1,0,6,22
1,0,7,22
0,1,1,22
0,1,2,22
0,1,3,22
0,1,4,22
0,1,5,22
0,1,6,22
0,1,7,22
0,1,8,22
0,1,1,23
0,1,2,23
0,1,3,23
0,1,4,23
0,1,5,23
0,1,6,23
0,0,1,23
0,1,2,23
0,1,3,23
0,1,4,23
1,1,1,23
1,1,2,23
1,1,3,23
1,1,4,23
1,0,5,23
1,0,6,23
1,1,1,23
1,0,2,23
1,0,3,23
1,0,4,23
1,0,5,23
1,0,6,23
1,0,7,23
1,0,8,23
0,0,1,24
0,1,2,24
0,1,3,24
0,0,4,24
0,1,5,24
0,0,6,24
0,0,7,24
1,1,1,24
1,1,2,24
1,1,3,24
1,1,4,24
1,1,1,24
1,1,2,24
1,1,3,24
1,1,4,24
1,1,5,24
1,1,6,24
1,1,7,24
0,0,1,24
0,0,2,24
0,0,3,24
0,0,4,24
0,0,5,24
0,0,6,24
0,0,7,24
1,1,1,25
1,1,2,25
1,1,3,25
1,0,4,25
0,1,1,25
0,0,2,25
0,0,3,25
0,0,4,25
0,0,5,25
0,0,6,25
0,0,7,25
0,0,8,25
0,1,1,25
0,1,2,25
0,1,3,25
0,1,4,25
0,1,5,25
0,1,6,25
1,0,1,25
1,0,2,25
1,0,3,25
1,0,4,25
1,0,5,25
1,0,6,25
1,1,1,26
1,1,2,26
1,0,3,26
1,0,4,26
1,0,5,26
1,0,6,26
0,1,1,26
0,0,2,26
0,1,3,26
0,1,4,26
0,0,5,26
0,0,6,26
0,1,7,26
0,0,8,26
1,0,1,26
1,0,2,26
1,0,3,26
1,0,4,26
0,0,1,26
0,1,2,26
0,0,3,26
0,0,4,26
0,0,5,26
1,0,1,27
1,0,2,27
1,0,3,27
1,0,4,27
1,0,1,27
1,0,2,27
1,0,3,27
1,0,4,27
0,0,1,27
0,1,2,27
0,1,3,27
0,1,4,27
0,0,5,27
0,0,6,27
0,1,7,27
0,1,8,27
0,1,1,27
0,1,2,27
0,0,3,27
0,1,4,27
0,0,5,27
0,0,6,27
0,0,1,28
0,1,2,28
0,0,3,28
0,0,4,28
0,0,5,28
0,0,6,28
0,0,7,28
0,0,8,28
0,0,1,28
0,0,2,28
0,0,3,28
0,0,4,28
1,1,1,28
1,0,2,28
1,0,3,28
1,0,4,28
1,0,5,28
1,0,6,28
1,0,1,28
1,0,2,28
1,0,3,28
1,0,4,28
1,0,5,28
1,0,6,28
1,1,1,29
1,1,2,29
1,1,3,29
1,1,4,29
1,0,5,29
1,0,6,29
0,1,1,29
0,1,2,29
0,0,3,29
0,0,4,29
0,1,5,29
0,1,6,29
0,0,1,29
0,1,2,29
0,1,3,29
0,0,4,29
0,1,5,29
0,1,6,29
0,0,1,30
0,1,2,30
0,0,3,30
0,1,4,30
0,0,5,30
0,1,1,30
0,1,2,30
0,0,3,30
1,1,1,30
1,1,2,30
1,1,3,30
1,1,1,30
1,0,2,30
1,1,3,30
1,0,4,30
1,0,5,30
1,0,6,30
1,1,1,31
1,0,2,31
1,0,3,31
1,0,4,31
1,0,5,31
1,0,1,31
1,0,2,31
1,0,3,31
