-0.5 0.5,-0.5 1.0,-0.5 1.5,-0.5 2.0,0.0 1.0,0.0 1.5,0.0 2.0,other
0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.890625
0.0162284778575,0.0185894360383,0.0178951212065,0.0181501075861,0.0176339284841,0.0172391045127,0.0165517624676,0.877712061847
0.016824133426,0.0221171368896,0.0204785490149,0.0210783097382,0.0198573555085,0.0189807866337,0.0175069704216,0.863156758368
0.0174037638878,0.0263031731829,0.0234053610447,0.0244624243724,0.0222977833155,0.0208432030348,0.0184818675861,0.846802423576
0.0179582606473,0.0312539241339,0.0267043558091,0.0283580343175,0.0249509167163,0.0228140597295,0.0194655503216,0.828494898325
0.0184777337743,0.0370869301244,0.0304016457445,0.0328222771969,0.0278039028406,0.0248746961627,0.0204448526952,0.808087961461
0.0189516783031,0.0439300814582,0.0345188892373,0.037912068391,0.0308335203145,0.0269992388289,0.0214042782006,0.785450245266
0.0193691895016,0.0519198254503,0.0390711022399,0.0436815825417,0.0340044384231,0.0291539106762,0.022326000022,0.760473951145
0.0197192429726,0.0611980232149,0.0440640325789,0.0501788305302,0.037267750351,0.0312966344573,0.023189971694,0.733085514201
0.0199910594855,0.0719070960097,0.0494911647359,0.0574412354507,0.0405600853918,0.0333771241201,0.023974208366,0.70325802644
0.0201745693351,0.0841831929435,0.0553305432615,0.0654902409215,0.0438036919988,0.0353376951506,0.0246553067769,0.671024759612
0.0202609756303,0.0981473034994,0.0615417418659,0.0743251758784,0.0469079155359,0.0371150170536,0.0252092627117,0.636492607825
0.0202433924526,0.113894538959,0.0680634385346,0.0839168403913,0.049772431847,0.0386429591606,0.0256126151358,0.599853783519
0.0201175066451,0.131482214344,0.0748121549672,0.0942015433825,0.0522924135764,0.0398565365025,0.0258438969542,0.561393733628
0.0198821863895,0.150917847128,0.0816827442925,0.105076570308,0.0543654975984,0.0406967533385,0.025885307216,0.52149309373
0.0195399416308,0.172148669626,0.0885511217327,0.116398211575,0.0559000211539,0.0411158965703,0.0257244466791,0.480621691033
0.0190971375684,0.195054583369,0.0952794927082,0.127983440608,0.056823578102,0.041082602629,0.0253558924682,0.439323272547
0.0185638794491,0.219446477923,0.101723937237,0.139616000474,0.0570906336558,0.0405858829938,0.0247823493964,0.398190838872
0.0179535282853,0.24507133313,0.107743712591,0.15105700855,0.0566878591161,0.0396373203784,0.024015128713,0.357834109236
0.0172818691927,0.27162449191,0.113211160378,0.162059306922,0.0556361010041,0.03827088253,0.0230737844496,0.318842403613
0.0165660235362,0.298768111993,0.118020811816,0.172383892839,0.0539884752491,0.0365402191692,0.0219848774004,0.281747587997
0.0158232524528,0.326153462478,0.122096311702,0.181816153786,0.0518248415925,0.0345138069761,0.0207800050732,0.246992165939
0.0150698227783,0.353443873301,0.125394161429,0.190179547343,0.0492436376616,0.0322687363468,0.0194933826445,0.214906838495
0.0143200876999,0.38033507517,0.127903912542,0.197344868583,0.0463525093029,0.0298841563681,0.0181593379261,0.185700052408
0.0135858803708,0.406570387003,0.12964512608,0.203234175879,0.0432592414995,0.0274353540253,0.0168100706605,0.159459764482
0.0128762487859,0.431949429363,0.130661945583,0.207819494948,0.0400642021693,0.0249891826834,0.0154739353806,0.136165561088
0.0121974967587,0.456330349133,0.131016391274,0.211117287173,0.0368550063473,0.0226011841126,0.0141743746986,0.115707910503
0.0115534543009,0.479626580492,0.130781459856,0.213180165751,0.03370357183,0.0203143889005,0.0129294986632,0.0979108802068
0.0109458855325,0.501799760025,0.13003488409,0.214087437519,0.0306653096498,0.0181595170461,0.0117522069954,0.0825549991424
0.0103749489379,0.522850552292,0.12885407879,0.213935821813,0.0277799403688,0.0161561665068,0.0106506981212,0.069397793171
0.00983964457122,0.542808932472,0.127312475221,0.212831290261,0.0250733490688,0.0143145610307,0.00962919971331,0.0581905476618
0.00933820688138,0.561725067668,0.125477191473,0.210882524851,0.0225599442916,0.0126374932253,0.00868877783935,0.0486907937706
0.00886842374942,0.579661484107,0.123407829389,0.208196111688,0.0202451101312,0.0111222016859,0.00782812028264,0.0406707189671
0.00842787872858,0.596686809319,0.121156123964,0.204873327078,0.0181274834264,0.0097620267774,0.00704423056558,0.033922120141
0.00801412362107,0.612871089265,0.118766174073,0.201008235394,0.0162009142383,0.00854777675459,0.00633300380322,0.0282586828508
0.00762479334129,0.628282507617,0.116275024941,0.196686778667,0.0144560613955,0.00746879630265,0.00568968006715,0.0235163576681
0.00725767610246,0.642985257339,0.113713428296,0.191986560252,0.0128816341746,0.00651376471837,0.00510918558134,0.0195524935358
0.00691075089233,0.657038302898,0.11110665999,0.186977076977,0.0114653223726,0.00567126677963,0.0045863789247,0.0162442411662
0.00658220217307,0.67049479623,0.108475319367,0.181720213711,0.0101944687123,0.00493018264567,0.00411622108805,0.0134865960728
0.00627041951231,0.683401950104,0.105836067665,0.176270868709,0.0090565375307,0.00427993952726,0.0036938869801,0.0111903299719
0.00597398782792,0.695801215562,0.103202285281,0.17067762228,0.00803942780042,0.0037106612748,0.00331483340029,0.00927996657363
0.00569167226837,0.707728648983,0.100584642135,0.164983394429,0.00713167044192,0.00321324479992,0.00297483558259,0.00769189135902
0.00542240047289,0.719215386383,0.097991583679,0.159226060567,0.00632254168272,0.00277938557527,0.00267000168383,0.0063726399564
0.00516524401808,0.730288167477,0.09542973957,0.153439010097,0.0056021169045,0.00240156883677,0.00239677226374,0.00527738083305
0.00491940019182,0.74096987071,0.0929042638988,0.147651642817,0.00496128334483,0.0020730386287,0.00215190993264,0.00436859047669
