-0.5 0.5,-0.5 1.0,-0.5 1.5,-0.5 2.0,-0.5 2.5,0.0 1.0,0.0 1.5,0.0 2.0,0.0 2.5,other
0.0123456790123,0.0123456790123,0.0123456790123,0.0123456790123,0.0123456790123,0.0123456790123,0.0123456790123,0.0123456790123,0.0123456790123,0.888888888889
0.0128161851743,0.0138272746679,0.013708798972,0.0135935954868,0.0135315475602,0.0135867751905,0.0134090816352,0.0129876754785,0.0131174623641,0.87942160347
0.0132875267404,0.015495372991,0.0152310452384,0.0149788785589,0.0148378388736,0.0149435047451,0.0145567170728,0.0136569714857,0.0139275273552,0.869084616939
0.0137564743022,0.0173691737469,0.0169268516767,0.0165137640671,0.0162728406982,0.0164194066446,0.0157892239188,0.0143507278914,0.0147725926258,0.857828944428
0.0142197316239,0.0194692364026,0.0188113601382,0.0182113804968,0.0178449378764,0.0180167471542,0.0171061618228,0.015065598401,0.0156485431465,0.845606302938
0.0146739658277,0.0218174805494,0.0209003398216,0.0200858067232,0.0195625252358,0.0197362273297,0.0185058293646,0.0157976991315,0.0165503699583,0.832369756058
0.015115832802,0.0244371464131,0.0232100572371,0.022152117763,0.0214338865017,0.0215766561702,0.0199850642772,0.0165425724089,0.0174721086087,0.818074557818
0.0155419984167,0.0273526940076,0.0257570767877,0.0244264064618,0.0234670269051,0.0235345875413,0.0215390255068,0.0172951452627,0.0184067779983,0.802679261112
0.015949158161,0.0305896191412,0.0285579727718,0.0269257699171,0.0256694495809,0.0256039262556,0.0231609624229,0.0180496863719,0.0193463256295,0.786147129748
0.0163340590458,0.0341741664027,0.031628936623,0.0296682514212,0.0280478697975,0.0277755181422,0.0248419833841,0.0187997681909,0.0202815893485,0.768447857644
0.016693527818,0.0381329227673,0.0349852678633,0.032672731033,0.0306078657747,0.030036749076,0.0265708425759,0.0195382430498,0.0212022886839,0.749559561358
0.0170245088261,0.0424922798837,0.0386407430273,0.0359587598674,0.0333534697154,0.0323711872926,0.0283337694658,0.0202572429309,0.0220970602644,0.729470978726
0.0173241135522,0.0472777580528,0.042606863491,0.0395463345057,0.0362867074177,0.0347583106561,0.0301143686138,0.0209482123827,0.0229535513386,0.708183779989
0.0175896822281,0.052513190441,0.0468919909094,0.0434556086413,0.039407099497,0.0371733649522,0.0318936185264,0.0216019828508,0.0237585832212,0.685714878733
0.017818856367,0.0582197726851,0.0515003882798,0.0477065395996,0.0427111421144,0.0395874000719,0.0336499965595,0.0222088948087,0.0244983927465,0.662098616768
0.0180096596317,0.0644149914319,0.0564311960162,0.0523184683244,0.0461917904635,0.0419675275218,0.0353597524662,0.0227589715997,0.02515895476,0.637388687785
0.0181605832825,0.0711114561421,0.0616773860306,0.0573096334358,0.0498379741729,0.04427743445,0.036997345958,0.0232421459096,0.0257263824915,0.611659658127
0.0182706714958,0.0783156718839,0.067224752211,0.0626966235156,0.0536341798986,0.0464781757752,0.0385360535555,0.023648536228,0.0261873955469,0.585007939889
0.0183396011046,0.0860268063467,0.0730510115158,0.0684937770662,0.0575601418955,0.0485292468389,0.0399487371738,0.0239687665021,0.0265298375356,0.557552074021
0.018367749796,0.094235520599,0.0791251038222,0.0747125464589,0.0615906849797,0.0503899146877,0.0412087518198,0.0241943175116,0.0267432175537,0.529432192771
0.0183562465961,0.102922947958,0.0854067874772,0.0813608500808,0.0656957644766,0.0520207580985,0.0422909535293,0.024317893579,0.0268192427013,0.500808555503
0.0183069986795,0.1120599158,0.0918466275597,0.0884424448646,0.0698407429067,0.0533853374384,0.0431727529082,0.0243337835795,0.0267523035922,0.471859092671
0.0182226893152,0.121606507963,0.0983864617651,0.0959563581666,0.0739869320938,0.0544518892278,0.0438351465662,0.0242381915503,0.0265398726091,0.442775950743
0.0181067431862,0.131512057592,0.104960402354,0.103896422115,0.0780924117006,0.0551949213729,0.044263650779,0.0240295103508,0.0261827765305,0.413761104018
0.0179632574202,0.141715639945,0.111496391739,0.112250953733,0.0821131117143,0.0555965778987,0.0444490610918,0.0237085125778,0.025685311743,0.385021182137
0.0177968993386,0.152147101847,0.117918276923,0.121002619459,0.0860041193472,0.0556476499307,0.0443879697086,0.0232784368002,0.025055181492,0.356761745153
0.0176127748995,0.16272862156,0.124148310265,0.130128512998,0.0897211437135,0.0553481337571,0.0440829895313,0.0227449541912,0.0243032495663,0.329181309518
0.0174162747097,0.1733767446,0.13010992932,0.13960046158,0.0932220487368,0.0547072752406,0.0435426581243,0.0221160102455,0.0234431216845,0.302465475758
0.0172129068597,0.184004794105,0.135730626089,0.149385559357,0.0964683501297,0.0537430879076,0.0427810237054,0.0214015473453,0.0224905822751,0.276781522227
0.0170081273088,0.194525515183,0.140944693752,0.159446909814,0.0994265689098,0.0524813828785,0.0418169445068,0.0206131249608,0.0214629279153,0.252273804772
0.0168071788557,0.204853787007,0.145695641404,0.169744543749,0.102069342806,0.0509543949273,0.0406731583882,0.0197634636857,0.0203782474428,0.229060241735
0.0166149488353,0.214909227119,0.149938094917,0.180236466555,0.104376217066,0.0491991239506,0.0393751980791,0.0188659458432,0.019254701644,0.20723007599
0.0164358537407,0.224618520382,0.153639050891,0.190879778951,0.106334064922,0.0472555308705,0.0379502369134,0.0179341083108,0.0181098524541,0.186843002564
0.0162737562897,0.233917328876,0.156778414118,0.201631808998,0.107937121606,0.0451647301623,0.0364259499879,0.0169811623429,0.0169600836564,0.167929643962
0.0161319173973,0.242751676412,0.15934881862,0.212451190805,0.109186650363,0.0429673089416,0.0348294671825,0.0160195708222,0.0158201435631,0.150493255892
