0.0 0.0,0.0 1.0,0.0 2.0,0.0 3.0,ASLP,1.0 0.0,1.0 1.0,1.0 2.0,1.0 3.0,1.0 4.0,2.0 0.0,2.0 1.0,2.0 2.0,2.0 3.0,2.0 4.0,3.0 0.0,3.0 1.0,3.0 2.0,3.0 3.0,3.0 4.0,4.0 0.0,LSAPT,4.0 2.0,4.0 3.0,4.0 4.0,other
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.03849359,0.038493606,0.03849359,0.038493607,0.076153812,0
0.03582857,0.03582857,0.03582857,0.03582857,0.035828571,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.03582857,0.035828612,0.03582857,0.035828591,0.140114251,0
0.031527847,0.031527847,0.031527847,0.031527847,0.031527931,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527847,0.031527945,0.031527847,0.031527865,0.243331479,0
0.025540015,0.025540016,0.025540015,0.025540015,0.025654194,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540015,0.025540333,0.025540015,0.02554003,0.38692513,0
0.024863837,0.024865921,0.024863834,0.024863834,0.049237013,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024863834,0.024864157,0.024863834,0.024863848,0.378892387,0
0.023720764,0.02372415,0.023720758,0.023720758,0.092751114,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023720758,0.023721069,0.023720758,0.023720772,0.361667728,0
0.021776618,0.021780364,0.02177661,0.02177661,0.168020221,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.02177661,0.021776895,0.02177661,0.021776623,0.331113684,0
0.018763913,0.018767287,0.018763906,0.018763906,0.284821026,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.018763906,0.01876415,0.018763906,0.018763916,0.283605503,0
0.01478904,0.014791686,0.014789034,0.014789034,0.438929134,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789034,0.014789224,0.014789034,0.014789042,0.220920228,0
0.010532009,0.01053385,0.010532006,0.010532007,0.603976673,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532005,0.010532006,0.010532137,0.010532005,0.010532011,0.153785213,0
0.006880026,0.006881174,0.006880033,0.006880157,0.745566041,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880024,0.006880106,0.006880024,0.006880028,0.096192026,0
