-0.5 -0.5,-0.5 -1.0,-0.5 -1.5,-0.5 0.0,-0.5 0.5,-0.5 1.0,-0.5 1.5,-0.5 2.0,other
0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.875
0.0182612936699,0.0170781600293,0.0169125031794,0.0180600317138,0.0183260171402,0.0159576724397,0.0160092634585,0.0160465953451,0.863348463024
0.0210329146159,0.0184641229335,0.0181340122085,0.0205620849279,0.0219347681008,0.0163668519063,0.0164852873028,0.0165603192613,0.850459638743
0.0238161160151,0.0197161266137,0.0192354729436,0.0230146698114,0.0268418431534,0.016871077979,0.0170764213381,0.0171900268577,0.836238245288
0.0264471858102,0.0207615552364,0.0201585048544,0.025276762441,0.0336106837753,0.0174887286122,0.0178069643191,0.0179622928398,0.820487322112
0.0287335545301,0.0215278534375,0.0208437571185,0.0271943396797,0.0430403131778,0.0182350378779,0.0186991393125,0.0189052168243,0.802820788042
0.0304738477077,0.0219492689597,0.0212340237792,0.0286148899071,0.0562270303639,0.0191178585873,0.0197686582218,0.0200469481804,0.782567474293
0.0314868240236,0.0219745437136,0.0212780257934,0.0294041539658,0.0745816905865,0.0201319895997,0.0210186236251,0.0214140890128,0.75871005968
0.0316498891853,0.0215768658777,0.0209379959731,0.0294682309758,0.0997036791746,0.0212526891028,0.0224323252978,0.0230307926066,0.729947531806
0.0309421648639,0.0207659102181,0.0202038858902,0.0287835580087,0.132970446936,0.0224321073018,0.0239689009155,0.0249220387086,0.695010987157
0.0294692985948,0.0195960209995,0.019109882865,0.0274234517652,0.17481391554,0.0236065228816,0.0255707614164,0.0271283704892,0.653281775448
0.0274392997746,0.0181611427444,0.0177388240103,0.0255535689001,0.22403189439,0.0247184295616,0.0271881610808,0.0297362676128,0.605432411926
0.0250950913721,0.0165753255118,0.0162042649876,0.0233850345235,0.277756102354,0.0257401100956,0.0288069718945,0.0329119639734,0.553525135287
0.0226507311417,0.0149484163335,0.0146200015018,0.0211151885151,0.332269809775,0.026676532339,0.0304544739275,0.0369167284929,0.500348117974
0.0202602499086,0.0133665320426,0.0130753305176,0.0188904196329,0.384118395005,0.0275450707078,0.0321789014502,0.0421005577201,0.448464543015
0.0180138558159,0.0118830066172,0.0116250714392,0.0167974633403,0.430816162444,0.0283503020611,0.0340223974361,0.0488940413139,0.399597699532
0.0159497320497,0.0105208483236,0.0102928519626,0.0148733668602,0.470931568029,0.0290687516862,0.0360041216684,0.0578149214317,0.354543837988
0.0140717301494,0.00928186073266,0.00908086693479,0.0131223716674,0.503785904748,0.029644964894,0.0381149217671,0.0694880411969,0.313409337909
0.0123654422803,0.00815628760816,0.00797973365915,0.0115313136741,0.529079178289,0.0299943012035,0.0403173755253,0.0846655785025,0.275910789258
0.010809459581,0.00712991675158,0.00697561024285,0.0100803402525,0.54661130986,0.030009831007,0.0425463375129,0.104230025033,0.24160716976
0.00938220046145,0.0061884781437,0.00605456084055,0.00874937249475,0.556136986672,0.0295743966512,0.0447088738568,0.129157755397,0.210047375483
0.00806590077419,0.00532024030521,0.00520511866594,0.00752186465369,0.557346989883,0.0285806434951,0.0466854194254,0.160414587865,0.180859234933
0.00684906199557,0.00451761257238,0.00441986219843,0.00638710268913,0.549969583369,0.0269602434087,0.0483360044582,0.198754910895,0.153805618413
0.0057278431791,0.00377805853106,0.00369631223947,0.00534150870975,0.533983827306,0.0247176896018,0.0495162147931,0.244421227497,0.128817318143
0.0047060516577,0.00310408801476,0.00303692548613,0.00438863500985,0.509899146417,0.0219550677644,0.0501052721936,0.296810350704,0.105994462753
0.0037929851678,0.00250183299018,0.00244770184036,0.00353715293432,0.478980550794,0.0188688905277,0.0500410516108,0.354270505348,0.0855593287862
0.00299897812245,0.00197810955009,0.00193531024866,0.00279670010129,0.443249249308,0.0157090714106,0.0493464945809,0.41422919416,0.0677568925184
0.00233007645253,0.00153690530382,0.00150365222567,0.00217291468545,0.405167474402,0.0127141021396,0.0481293439291,0.473710548385,0.0527349824773
0.00178440112824,0.00117698069792,0.00115151513955,0.00166404434817,0.367123752157,0.0100553278615,0.04655117459,0.530030953253,0.0404618508248
0.00135190167974,0.000891706400765,0.000872413149803,0.00126071644671,0.330983034354,0.00781565285601,0.0447824242249,0.581322173547,0.0307199773413
0.00101696487018,0.000670783947797,0.000656270643312,0.000948370782075,0.297894456623,0.0060021384199,0.0429665499014,0.626679962361,0.0231645024516
0.000761933743405,0.000502566872713,0.000491693156139,0.000710541298279,0.268352626134,0.00457432890597,0.0412045720325,0.665999150788,0.0174025870692
0.000569908289397,0.000375908002163,0.000367774706179,0.000531467845057,0.242386154279,0.00347113426577,0.0395566431355,0.699684158974,0.0130568505037
0.00042627635736,0.000281169231544,0.000275085724995,0.00039752382879,0.219754399138,0.00262880282005,0.0380516595662,0.728384815446,0.00980026788759
0.000319189936881,0.000210535673533,0.000205980411513,0.000297660365382,0.200095507255,0.00199008797949,0.0366979280598,0.752815852745,0.0073672575727
0.000239423664565,0.000157922327399,0.000154505421862,0.000223274327669,0.183018083074,0.00150748779563,0.0354917163817,0.773656821803,0.00555076520451
0.000179971664242,0.000118708155576,0.000116139700164,0.000167832376428,0.168149616469,0.00114332851289,0.0344230911408,0.791507938588,0.00419337339255
0.000135591832282,8.94354959309e-05,8.7500394725e-05,0.000126445981961,0.155157582441,0.000868514405384,0.0334795182976,0.80687824479,0.00317716636108
0.000102393666183,6.75381953096e-05,6.60768739089e-05,9.54870524657e-05,0.143755355933,0.000660920133953,0.0326479142782,0.820189781621,0.0024145322457
