0.0 0.0,LSAPT,ASLP,10.0 10.0,other
4.69E-13,1,4.59E-13,4.59E-13,0
2.34E-13,1,2.30E-13,2.30E-13,0
1.17E-13,1,1.15E-13,1.15E-13,0
5.86E-14,1,5.74E-14,5.74E-14,0
2.93E-14,1,2.87E-14,2.87E-14,0
1.46E-14,1,1.44E-14,1.44E-14,0
7.32E-15,1,7.18E-15,7.18E-15,0
3.66E-15,1,3.59E-15,3.59E-15,0
1.83E-15,1,1.79E-15,1.79E-15,0
9.15E-16,1,8.97E-16,8.97E-16,0
4.58E-16,1,4.49E-16,4.49E-16,0
2.29E-16,1,2.24E-16,2.24E-16,0
1.14E-16,1,1.12E-16,1.12E-16,0
5.72E-17,1,5.61E-17,5.61E-17,0
2.86E-17,1,2.80E-17,2.80E-17,0
1.43E-17,1,1.40E-17,1.40E-17,0
7.15E-18,1,7.01E-18,7.01E-18,0
3.58E-18,1,3.50E-18,3.50E-18,0
1.79E-18,1,1.75E-18,1.75E-18,0
8.94E-19,1,8.76E-19,8.76E-19,0
4.47E-19,1,4.38E-19,4.38E-19,0
2.23E-19,1,2.19E-19,2.19E-19,0
1.12E-19,1,1.10E-19,1.10E-19,0
5.59E-20,1,5.48E-20,5.48E-20,0
2.79E-20,1,2.74E-20,2.74E-20,0
1.40E-20,1,1.37E-20,1.37E-20,0
6.98E-21,1,6.85E-21,6.85E-21,0
3.49E-21,1,3.42E-21,3.42E-21,0
1.75E-21,1,1.71E-21,1.71E-21,0
8.73E-22,1,8.56E-22,8.56E-22,0
4.36E-22,1,4.28E-22,4.28E-22,0
2.18E-22,1,2.14E-22,2.14E-22,0
1.09E-22,1,1.07E-22,1.07E-22,0
5.46E-23,1,5.35E-23,5.35E-23,0
2.73E-23,1,2.67E-23,2.67E-23,0
1.36E-23,1,1.34E-23,1.34E-23,0
6.82E-24,1,6.68E-24,6.68E-24,0
3.41E-24,1,3.34E-24,3.34E-24,0
1.70E-24,1,1.67E-24,1.67E-24,0
8.52E-25,1,8.36E-25,8.36E-25,0
4.26E-25,1,4.18E-25,4.18E-25,0
2.13E-25,1,2.09E-25,2.09E-25,0
1.07E-25,1,1.04E-25,1.04E-25,0
5.33E-26,1,5.22E-26,5.22E-26,0
2.66E-26,1,2.61E-26,2.61E-26,0
1.33E-26,1,1.31E-26,1.31E-26,0
6.66E-27,1,6.53E-27,6.53E-27,0
3.33E-27,1,3.26E-27,3.26E-27,0
1.67E-27,1,1.63E-27,1.63E-27,0
8.33E-28,1,8.16E-28,8.16E-28,0
4.16E-28,1,4.08E-28,4.08E-28,0
2.08E-28,1,2.04E-28,2.04E-28,0
1.04E-28,1,1.02E-28,1.02E-28,0
5.20E-29,1,5.10E-29,5.10E-29,0
2.60E-29,1,2.55E-29,2.55E-29,0
1.30E-29,1,1.28E-29,1.28E-29,0
6.50E-30,1,6.38E-30,6.38E-30,0
3.25E-30,1,3.19E-30,3.19E-30,0
1.63E-30,1,1.59E-30,1.59E-30,0
8.13E-31,1,7.97E-31,7.97E-31,0
