0.0 0.0,LSAPT,ASLP,10.0 10.0,other
0.25,0.25,0.25,0.25,0
0.375889932,0.20001167,0.224097508,0.200000891,0
0.490151104,0.149607351,0.210643876,0.149597669,0
0.553974681,0.109915488,0.226201687,0.109908144,0
0.564239465,0.081498624,0.27276879,0.081493121,0
0.533897321,0.060146513,0.345813742,0.060142424,0
0.474349723,0.043270736,0.439111765,0.043267775,0
0.397444886,0.02991268,0.542731799,0.029910634,0
0.316102671,0.019769207,0.644360143,0.019767979,0
0.241191042,0.01253486,0.733739341,0.012534757,0
0.17877268,0.007693358,0.805838355,0.007695607,0
0.130205686,0.004620795,0.860546069,0.004627449,0
0.094019927,0.002744993,0.900477569,0.00275751,0
0.067719383,0.001627081,0.929008591,0.001644945,0
0.048827073,0.000968042,0.949215852,0.000989033,0
0.035301366,0.000579824,0.963517501,0.000601309,0
0.025604233,0.000349914,0.973676002,0.00036985,0
0.018627419,0.000212663,0.980930018,0.0002299,0
0.013587237,0.000130032,0.986138548,0.000144183,0
0.00993202,7.99E-05,0.989897006,9.11E-05,0
0.00727238,4.93E-05,0.992620483,5.79E-05,0
0.0053319,3.05E-05,0.994600702,3.69E-05,0
0.003913087,1.89E-05,0.996044385,2.36E-05,0
0.002873978,1.17E-05,0.997099124,1.52E-05,0
0.002111992,7.31E-06,0.997870963,9.74E-06,0
0.001552689,4.55E-06,0.998436495,6.27E-06,0
0.00114186,2.83E-06,0.998851268,4.04E-06,0
0.000839929,1.77E-06,0.999155701,2.60E-06,0
0.000617942,1.10E-06,0.999379277,1.68E-06,0
0.000454682,6.87E-07,0.999543547,1.08E-06,0
0.000334587,4.29E-07,0.999664284,7.00E-07,0
0.00024623,2.67E-07,0.99975305,4.52E-07,0
0.000181216,1.67E-07,0.999818326,2.92E-07,0
0.000133373,1.04E-07,0.999866335,1.88E-07,0
9.82E-05,6.50E-08,0.99990165,1.22E-07,0
7.23E-05,4.06E-08,0.99992763,7.86E-08,0
5.32E-05,2.53E-08,0.999946745,5.08E-08,0
3.91E-05,1.58E-08,0.999960809,3.28E-08,0
2.88E-05,9.87E-09,0.999971158,2.12E-08,0
2.12E-05,6.16E-09,0.999978774,1.37E-08,0
