id,datestamp,timestamp,version,order,behavior,opponent,reply,payoff,rt,score,met,condition
ARFK5JVM6G8T2_m4,11/7/2013,20:37:18,lit1p1,28,1,0nopun,0,1,4770,512,2,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:37:18,lit1p1,6,1,6pun,-2,1,6701,499,4,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:37:23,lit1p1,19,2,3pun,0,0,4584,500,3,0
ARFK5JVM6G8T2_m4,11/7/2013,20:37:26,lit1p1,29,1,7nopun,0,1,6156,513,1,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:37:26,lit1p1,7,2,6pun,0,0,4856,499,5,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:37:28,lit1p1,5,1,2nopun,0,1,6636,505,5,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:37:29,lit1p1,20,2,3pun,0,0,4484,500,4,0
ARFK5JVM6G8T2_m4,11/7/2013,20:37:32,lit1p1,30,1,7nopun,0,1,4925,514,2,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:37:33,lit1p1,6,1,2nopun,0,1,5032,506,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:37:35,lit1p1,8,2,6pun,0,0,6328,499,6,0
ARFK5JVM6G8T2_m4,11/7/2013,20:37:39,lit1p1,31,1,7nopun,0,1,4969,515,3,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:37:41,lit1p1,21,2,3pun,0,0,10836,500,5,0
ARFK5JVM6G8T2_m4,11/7/2013,20:37:45,lit1p1,32,1,7nopun,0,1,5417,516,4,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:37:46,lit1p1,22,1,3pun,-2,1,4493,499,6,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:37:52,lit1p1,23,2,3pun,0,0,4458,499,7,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:37:53,lit1p1,7,1,2nopun,0,1,5006,507,7,0
ARFK5JVM6G8T2_m4,11/7/2013,20:37:53,lit1p1,33,1,7nopun,0,1,5647,517,5,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:37:58,lit1p1,24,2,3pun,0,0,4343,499,8,0
ARFK5JVM6G8T2_m4,11/7/2013,20:38:00,lit1p1,34,1,7nopun,0,1,5662,518,6,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:02,lit1p1,25,2,3pun,0,0,4159,499,9,0
ARFK5JVM6G8T2_m4,11/7/2013,20:38:07,lit1p1,35,1,7nopun,0,1,4947,519,7,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:08,lit1p1,26,2,3pun,0,0,4429,499,10,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:38:11,lit1p1,8,1,2nopun,0,1,5723,508,8,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:13,lit1p1,27,2,7nopun,0,0,4300,499,1,0
ARFK5JVM6G8T2_m4,11/7/2013,20:38:14,lit1p1,36,1,7nopun,0,1,5370,520,8,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:38:15,lit1p1,1,1,6pun,-2,1,8887,499,1,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:38:17,lit1p1,9,1,1nopun,0,1,7039,509,1,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:18,lit1p1,28,1,7nopun,0,1,4379,500,2,0
ARFK5JVM6G8T2_m4,11/7/2013,20:38:22,lit1p1,37,1,7nopun,0,1,4924,521,9,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:24,lit1p1,29,1,7nopun,0,1,4468,501,3,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:38:25,lit1p1,10,1,1nopun,0,1,5001,510,2,0
